side,entry_price,exit_price,pnl,balance,prob_up_entry
SHORT,58844.2,58816.0,0.23961579900820268,500.2396157990082,0.01750096306204796
SHORT,58750.24,58176.01,4.889385891534463,505.1290016905427,0.0035285938065499067
SHORT,57726.0,58164.16,-3.8341011568570345,501.2949005336856,0.007095339708030224
SHORT,57804.01,58234.99,-3.7375966863199697,497.55730384736563,0.006574960891157389
SHORT,58268.54,58110.0,1.3537791568479576,498.9110830042136,0.0022636186331510544
SHORT,58115.52,58642.76,-4.5262587240575956,494.384824280156,0.004135609604418278
SHORT,59640.0,59915.26,-2.28176335901,492.10306092114604,0.007572434842586517
SHORT,59546.48,60013.01,-3.855489711760311,488.24757120938574,0.00840991921722889
SHORT,59659.31,60181.81,-4.2761030249412,483.9714681844445,0.012489993125200272
SHORT,62482.43,63289.58,-6.251958679345138,477.7195095050994,0.013038156554102898
SHORT,62828.01,63500.75,-5.115250711019779,472.6042587940796,0.011802132241427898
SHORT,63229.16,63297.38,-0.5099081268030291,472.09435066727656,0.02070983126759529
SHORT,62862.53,63386.0,-3.9312326395994552,468.1631180276771,0.024724243208765984
SHORT,63495.66,63376.01,0.8821975718027414,469.04531559947986,0.020336898043751717
SHORT,64430.0,63819.44,4.444828618538198,473.4901442180181,0.034360937774181366
SHORT,63834.0,63666.37,1.2433993306899875,474.7335435487081,0.019188567996025085
SHORT,63703.61,63531.99,1.2789506080398088,476.0124941567479,0.009579370729625225
SHORT,63506.25,63737.19,-1.731015851204574,474.2814783055433,0.017759274691343307
SHORT,63723.48,62696.0,7.6473339706083605,481.9288122761517,0.01044828537851572
SHORT,62628.85,62151.99,3.6694362649482644,485.59824854109996,0.030313774943351746
SHORT,62293.99,61142.01,8.97999101284693,494.5782395539469,0.025674136355519295
SHORT,60888.91,61291.5,-3.270090620147768,491.30814893379915,0.02131917141377926
SHORT,61400.01,61867.1,-3.7375421157991258,487.57060681800004,0.0071414741687476635
SHORT,61750.47,61350.0,3.1620391053283607,490.7326459233284,0.005112433806061745
SHORT,61284.76,61729.48,-3.561058610575008,487.1715873127534,0.014201548881828785
SHORT,61828.07,60790.0,8.179427396678358,495.35101470943175,0.013169718906283379
SHORT,60924.0,61106.01,-1.4798574976571628,493.8711572117746,0.015639465302228928
SHORT,61167.38,60918.0,2.0135174857165734,495.88467469749116,0.004242622293531895
SHORT,61025.98,60641.5,3.124206112342531,499.00888080983367,0.004020554944872856
SHORT,60590.0,60638.01,-0.3954021516369215,498.61347865819675,0.007172616198658943
SHORT,60577.78,61036.0,-3.771591963105254,494.8418866950915,0.008809834718704224
SHORT,60932.0,61075.99,-1.1693737816783505,493.67251291341313,0.004126911051571369
SHORT,61036.0,61409.11,-3.0177952567849085,490.65471765662824,0.006303232628852129
SHORT,60952.0,61626.82,-5.432202660602498,485.2225149960257,0.02260703779757023
SHORT,62848.0,63344.71,-3.8348853650661003,481.3876296309596,0.02458101697266102
SHORT,62471.08,62785.78,-2.425005091073524,478.9626245398861,0.029784681275486946
SHORT,62680.0,62842.01,-1.2379823676086084,477.7246421722775,0.010430339723825455
SHORT,62656.0,62400.02,1.9517357300699312,479.67637790234744,0.011505773290991783
SHORT,62347.21,62524.09,-1.3608493102316221,478.3155285921158,0.008620856329798698
SHORT,62311.52,60902.01,10.819677014874143,489.1352056069899,0.006104099564254284
SHORT,60840.0,60905.75,-0.5286101211153765,488.60659548587455,0.017432264983654022
SHORT,60940.01,59540.61,11.220150271109814,499.82674575698434,0.00794787984341383
SHORT,59686.01,60198.77,-4.293990537386391,495.53275521959796,0.013566315174102783
SHORT,59967.68,60578.55,-5.04782066241343,490.48493455718454,0.008399737998843193
SHORT,60396.72,60872.37,-3.862778626424181,486.62215593076036,0.0060303402133286
SHORT,67021.99,67471.18,-3.2614042976422137,483.3607516331181,0.02859332226216793
SHORT,66860.01,67458.01,-4.32320799049546,479.03754364262267,0.05146874859929085
SHORT,67312.0,67461.29,-1.062448224542497,477.9750954180802,0.06995616108179092
SHORT,67480.01,67763.0,-2.004477655714092,475.9706177623661,0.043274667114019394
SHORT,67670.0,67469.96,1.4070217581968536,477.3776395205629,0.028793420642614365
SHORT,67415.75,67368.0,0.33812250530635407,477.71576202586925,0.034234557300806046
SHORT,66984.0,67440.43,-3.2551625053962927,474.46059952047295,0.03323454409837723
SHORT,67102.0,67510.3,-2.8869819496320424,471.5736175708409,0.04523978754878044
SHORT,67420.12,66800.0,4.337462344001011,475.91107991484193,0.025674983859062195
SHORT,66536.99,66057.79,3.4275158749320647,479.338595789774,0.025446545332670212
SHORT,65904.13,66475.62,-4.156601628879626,475.18199416089436,0.03081422485411167
SHORT,66472.0,67432.01,-6.862731168227177,468.3192629926672,0.023839008063077927
SHORT,67418.01,67399.99,0.12517594510907373,468.4444389377762,0.060871366411447525
SHORT,67353.0,67258.96,0.6540542371936744,469.0984931749699,0.06037638336420059
SHORT,67297.9,66698.33,4.179289153939579,473.2777823289095,0.024046411737799644
SHORT,66639.91,67061.12,-2.991440635120269,470.2863416937892,0.07262454926967621
SHORT,71160.02,70620.56,3.565213583275191,473.8515552770644,0.15909239649772644
SHORT,70476.0,69579.89,6.025074028028458,479.8766293050929,0.05132373794913292
SHORT,69561.16,69647.5,-0.595627619985058,479.2810016851078,0.11003410071134567
SHORT,70279.17,71200.44,-6.282760715905442,472.99824096920236,0.04028384014964104
SHORT,69945.71,70032.61,-0.5876492945774795,472.41059167462487,0.15312716364860535
SHORT,70224.01,69408.95,5.483067356169508,477.89365903079437,0.13155828416347504
SHORT,69438.16,69571.57,-0.9181665103352281,476.9754925204591,0.052707307040691376
SHORT,69559.99,68666.67,6.125529158045871,483.101021678505,0.04848659783601761
SHORT,67777.0,68454.55,-4.829442100392029,478.27157957811295,0.04957123473286629
SHORT,68414.82,68456.25,-0.2896271822672046,477.9819523958457,0.04196187108755112
SHORT,68640.0,69321.98,-4.749040383084495,473.23291201276123,0.03408403322100639
SHORT,68883.52,68970.01,-0.5941902295350069,472.63872178322623,0.035543639212846756
SHORT,68891.99,69154.23,-1.7991174068339442,470.8396043763923,0.03426200896501541
SHORT,68382.57,68020.01,2.4963613821871604,473.33596575857945,0.06016332656145096
SHORT,67977.87,67687.93,2.0188780541674016,475.3548438127468,0.05181008577346802
SHORT,67703.98,68243.0,-3.784500821250822,471.570342991496,0.058992885053157806
SHORT,68357.99,68918.0,-3.8632515054738494,467.70709148602214,0.019107652828097343
SHORT,88720.03,89393.5,-3.5503447744899663,464.15674671153215,0.10368814319372177
SHORT,89166.51,88816.01,1.824529632508801,465.98127634404096,0.13339181244373322
SHORT,88812.12,89616.02,-4.217919221531713,461.76335712250926,0.13835585117340088
SHORT,89074.36,88227.22,4.391591591034294,466.15494871354355,0.07092495262622833
SHORT,87914.52,88105.61,-1.0132290905946995,465.14171962294887,0.1564682126045227
SHORT,88199.87,88397.6,-1.0427733308569607,464.0989462920919,0.11804743856191635
SHORT,88364.07,88182.67,0.9527350749845406,465.05168136707647,0.029509052634239197
SHORT,88090.91,88805.08,-3.7702636887497536,461.2814176783267,0.032762620598077774
SHORT,88490.25,89152.01,-3.449618358664466,457.83179931966225,0.060293521732091904
SHORT,89482.01,90247.86,-3.918446663289829,453.9133526563724,0.04747776314616203
SHORT,90285.34,90985.11,-3.518123172470182,450.39522948390226,0.02419154904782772
SHORT,90456.01,89855.99,2.9875974586423344,453.38282694254457,0.00816915463656187
SHORT,89798.56,90572.65,-3.90829332350043,449.47453361904417,0.013851260766386986
SHORT,90340.91,90217.79,0.6125608495551007,450.0870944685993,0.02994680218398571
SHORT,90374.2,91887.99,-7.539069145127987,442.5480253234713,0.040128424763679504
SHORT,90450.09,90608.26,-0.7738833777325457,441.77414194573873,0.030262282118201256
SHORT,90598.18,91715.8,-5.44972996721793,436.3244119785208,0.02460762858390808
SHORT,90248.0,91042.94,-3.843317614331707,432.4810943641891,0.0288713201880455
SHORT,90714.26,91428.0,-3.402762215019958,429.07833214916917,0.009570073336362839
SHORT,91142.28,91964.01,-3.8685288307131986,425.20980331845595,0.02243436500430107
SHORT,96899.99,96537.56,1.5903901436595809,426.80019346211554,0.0005498367245309055
SHORT,96260.0,96974.89,-3.1696986318733607,423.6304948302422,0.0005751514690928161
SHORT,97620.33,97898.8,-1.2084407407286863,422.4220540895135,0.00010697076504584402
SHORT,97701.76,96109.61,6.883798955296322,429.3058530448098,0.0002224971540272236
SHORT,96140.0,95669.35,2.101651755102335,431.40750479991215,0.005234810058027506
SHORT,95458.45,94404.49,4.763184964336979,436.1706897642491,0.0025600988883525133
SHORT,94270.51,94244.02,0.12256390224101701,436.29325366649016,0.01478735264390707
SHORT,94277.32,94857.15,-2.683316806984293,433.60993685950586,0.01726500317454338
SHORT,94618.7,93568.0,4.815051999850758,438.42498885935663,0.0033525782637298107
SHORT,93546.59,92356.85,5.575956817298518,444.00094567665514,0.008478301577270031
SHORT,92609.99,92909.27,-1.4348409175091013,442.566104759146,0.01587759144604206
SHORT,93274.15,94224.0,-4.506837259899723,438.0592674992463,0.003944389522075653
SHORT,94551.08,91730.16,13.069445096491423,451.12871259573774,0.004298596177250147
SHORT,91700.08,92427.99,-3.5810339662251884,447.5476786295126,0.008905371651053429
SHORT,92219.54,92559.2,-1.6483930035142478,445.89928562599835,0.006745823659002781
SHORT,92753.86,93124.05,-1.7796289722701502,444.1196566537282,0.0034166977275162935
SHORT,93204.0,93869.0,-3.16874352683073,440.9509131268975,0.001658358029089868
SHORT,93085.5,93827.99,-3.5172142115323424,437.43369891536514,0.002246340736746788
SHORT,94820.01,95565.32,-3.4383429208519964,433.99535599451315,0.0010066633112728596
SHORT,94972.0,95590.79,-2.827696440380761,431.1676595541324,0.000911914452444762
SHORT,96483.75,96882.39,-1.7814468841090871,429.3862126700233,0.0007288084598258138
SHORT,96700.0,95690.65,4.48191286203196,433.8681255320553,0.0007167120347730815
SHORT,95577.74,96718.02,-5.176217246627595,428.6919082854277,0.0007518728962168097
SHORT,96321.27,97160.0,-3.732890609065201,424.9590176763625,0.0010737936245277524
SHORT,96396.0,95367.99,4.531952775649118,429.49097045201165,0.0014317475724965334
SHORT,95515.42,96223.74,-3.1850045174964468,426.3059659345152,0.004869565833359957
SHORT,96026.25,96144.0,-0.5227479724428405,425.78321796207234,0.0009075613343156874
SHORT,96035.49,94703.04,5.907554059166719,431.69077202123907,0.0003929124213755131
SHORT,95235.25,95828.0,-2.6868696739452163,429.00390234729383,0.0030777258798480034
SHORT,95631.96,95867.97,-1.058738218823313,427.94516412847054,0.00100860302336514
SHORT,95815.28,96513.19,-3.1171146136284684,424.82804951484206,0.00032284960616379976
SHORT,95391.99,96419.2,-4.5746778187784285,420.25337169606365,0.003471922827884555
SHORT,95822.99,95546.62,1.2120830745903939,421.46545477065405,0.0012580652255564928
SHORT,95924.37,96660.0,-3.232157088891344,418.2332976817627,0.0008587893098592758
SHORT,99028.0,99072.84,-0.18937655075381507,418.04392113100886,0.0008034612983465195
SHORT,99217.39,96211.68,12.66430002021515,430.708221151224,0.0007060075295157731
SHORT,96589.04,97112.02,-2.3320636119550495,428.37615753926895,0.05009864270687103
SHORT,96383.74,97479.98,-4.872223042401574,423.5039344968674,0.048936568200588226
SHORT,97551.99,98301.13,-3.252252849880184,420.2516816469872,0.008004474453628063
SHORT,98118.38,98068.58,0.2132988105390775,420.4649804575263,0.0007807408692315221
SHORT,98056.01,98604.0,-2.3497856443569494,418.11519481316935,0.00018485575856175274
SHORT,98656.01,98747.99,-0.38982151841453555,417.72537329475483,7.114324398571625e-05
SHORT,99211.99,99802.65,-2.4869339783455002,415.2384393164093,7.987658318597823e-05
SHORT,99618.18,99440.0,0.7427076575520098,415.9811469739613,0.00021172197011765093
SHORT,99576.51,99092.95,2.0200732424818555,418.00122021644313,0.0001435319718439132
SHORT,99019.99,100156.26,-4.796629917810839,413.2045902986323,0.0001646947202971205
SHORT,98283.72,98227.77,0.2352250894370645,413.43981538806935,0.0019703225698322058
SHORT,97960.35,96991.99,4.086945173523698,417.52676056159305,0.0003904007899109274
SHORT,96892.0,97293.09,-1.72837601033778,415.79838455125525,0.0008359799394384027
SHORT,97425.2,96931.99,2.1049576623349973,417.90334221359024,0.000511628168169409
SHORT,96348.47,97240.41,-3.8687143351003948,414.03462787848986,0.002314323326572776
SHORT,97157.57,97770.81,-2.61330738510855,411.4213204933813,0.00030822609551250935
SHORT,97738.36,96319.77,5.971434051468674,417.39275454485,0.00020070177561137825
SHORT,95271.23,95339.7,-0.29997389457117735,417.0927806502788,0.01966860331594944
SHORT,95132.03,95901.91,-3.3754287590313834,413.71735189124746,0.02718985825777054
SHORT,95988.0,96705.89,-3.094173748272763,410.6231781429747,0.0018063035095110536
SHORT,96936.41,97330.66,-1.6700452181266745,408.95313292484803,0.00029882299713790417
SHORT,97207.29,97954.31,-3.1427290006492505,405.8104039241988,0.0011127425823360682
SHORT,99472.0,100248.0,-3.16580418052495,402.64459974367384,0.00017535655933897942
SHORT,99763.98,100418.32,-2.6408977207633337,400.0037020229105,0.00031571160070598125
SHORT,99579.23,100078.34,-2.004894471634847,397.99880755127566,7.483587978640571e-05
SHORT,99873.16,100897.01,-4.080085972160794,393.91872157911484,0.0002501679118722677
SHORT,105527.35,106444.01,-3.421762560347706,390.49695901876714,3.962728442274965e-06
SHORT,105332.84,104500.0,3.087560226698427,393.5845192454656,7.177549832704244e-06
SHORT,104531.03,104618.69,-0.3300610254874459,393.2544582199781,3.7801378311996814e-06
SHORT,104656.18,101376.38,12.32412622044761,405.57858444042574,5.230236183706438e-06
SHORT,101248.06,100534.56,2.85813199777107,408.4367164381968,0.00039327930426225066
SHORT,101090.89,101548.54,-1.8490396442047285,406.5876767939921,0.0003643048112280667
SHORT,101612.81,102483.39,-3.483488938681193,403.1041878553109,1.5920624719001353e-05
SHORT,102409.34,100679.86,6.80758835875715,409.911776214068,8.220275958592538e-06
SHORT,100057.83,101098.12,-4.261806614012444,405.64996960005556,0.0005173414829187095
SHORT,100716.3,98932.73,7.183595071300014,412.8335646713556,0.00047728230128996074
SHORT,98696.96,96932.1,7.38212651074452,420.2156911821001,0.0009409523918293417
SHORT,96409.54,97521.91,-4.848434381081313,415.3672568010188,0.009081951342523098
SHORT,97864.23,98391.21,-2.236672551237605,413.1305842497812,0.004516997840255499
SHORT,97949.54,97188.0,3.2120157494315524,416.3425999992127,0.0010445157531648874
SHORT,97546.65,97767.94,-0.9444963405081533,415.39810365870454,0.001337320194579661
SHORT,97721.96,97281.37,1.8728671681471987,417.27097082685174,0.0004981763195246458
SHORT,98039.82,94722.01,14.121056114944395,431.39202694179613,0.0006944401538930833
SHORT,94971.98,93643.6,6.033911694259035,437.42593863605515,0.005397668574005365
SHORT,93777.1,95480.35,-7.944857859561179,429.48108077649397,0.017192646861076355
SHORT,95204.0,95971.99,-3.4645306418379906,426.016550134656,0.021293029189109802
SHORT,95627.99,97065.35,-6.403346431327828,419.61320370332817,0.008806371130049229
SHORT,97207.69,97584.33,-1.625829366409399,417.9873743369188,0.004236655775457621
SHORT,97232.9,96408.85,3.542448037879502,421.5298223747983,0.0003073589759878814
SHORT,96623.29,97463.93,-3.667385263751102,417.8624371110472,0.0012220925418660045
SHORT,97632.41,98691.98,-4.534913175755367,413.3275239352918,0.0006310308235697448
SHORT,98236.74,97564.56,2.828172993513698,416.1556969288055,0.00012447152403183281
SHORT,97493.96,97851.2,-1.524888938461859,414.63080799034367,0.0008688121451996267
SHORT,97826.37,96739.99,4.604552097604638,419.2353600879483,0.00021871451463084668
SHORT,96740.01,97190.0,-1.9500899336890525,417.28527015425925,0.0002845090057235211
SHORT,96940.27,96184.93,3.251406829775911,420.5366769840352,0.00035944662522524595
SHORT,96124.49,95592.49,2.327455908015798,422.864132892051,0.0007042119977995753
SHORT,95509.81,95547.41,-0.16647181474597772,422.697661077305,0.001400799723342061
SHORT,95390.78,95462.19,-0.3164335167144225,422.38122756059056,0.0013301781145855784
SHORT,95540.0,96350.06,-3.581265827901749,418.7999617326888,0.001969004515558481
SHORT,96090.91,95939.57,0.6595960659402994,419.45955779862913,0.000897236808668822
SHORT,95895.99,93980.61,8.378081792745858,427.83763959137497,0.0005619061994366348
SHORT,93411.99,94050.0,-2.922159055124394,424.9154805362506,0.008046608418226242
SHORT,94072.42,94947.7,-3.9535500607273653,420.9619304755232,0.005711287725716829
SHORT,94772.64,94560.78,0.9410415768785658,421.90297205240176,0.002896097721531987
SHORT,94541.31,94581.55,-0.17957626772244606,421.7233957846793,0.0005554346716962755
SHORT,96702.38,96280.0,1.8420180342152455,423.56541381889457,0.001665335614234209
SHORT,95796.58,96339.0,-2.398314759917763,421.1670990589768,0.001329116290435195
SHORT,95921.16,96193.35,-1.1951218343571375,419.9719772246197,0.0021120079327374697
SHORT,95917.03,96020.49,-0.4529988132833339,419.5189784113364,0.0005224882042966783
SHORT,96080.13,97298.54,-5.319998198234622,414.1989802131018,0.002445952035486698
SHORT,96585.34,94572.97,8.62989768231319,422.82887789541496,0.0044568367302417755
SHORT,94621.07,95002.52,-1.7045682898450154,421.1243096055699,0.002129647880792618
SHORT,93352.65,93861.89,-2.2972389474057886,418.82707065816413,0.0033090210054069757
SHORT,93783.0,93986.74,-0.9098858788468742,417.91718477931727,0.0017716906731948256
SHORT,92680.52,92538.03,0.6425192657443759,418.55970404506166,0.0048272814601659775
SHORT,93964.0,94583.99,-2.761726096280492,415.7979779487812,0.002231304068118334
SHORT,93928.98,92871.23,4.682370778170102,420.48034872695126,0.0012607354437932372
SHORT,92784.75,92840.25,-0.2515139541179527,420.2288347728333,0.017687220126390457
SHORT,92813.02,94097.36,-5.815096865204251,414.41373790762907,0.0013403536286205053
SHORT,93718.73,94401.14,-3.0175406654096264,411.39619724221944,0.00558202899992466
SHORT,93825.86,93888.31,-0.27382314979873756,411.1223740924207,0.0022937252651900053
SHORT,99979.69,97119.6,11.76085853954927,422.88323263197,0.0001933934399858117
SHORT,97164.0,96109.35,4.590113635660378,427.47334626763035,0.0003316894581075758
SHORT,95945.99,95561.77,1.7118360976102196,429.18518236524056,0.0011117163812741637
SHORT,95346.72,94030.82,5.923274355682273,435.10845672092285,0.0020908555015921593
SHORT,94387.37,94759.29,-1.7144829570274653,433.39397376389536,0.010127538815140724
SHORT,94785.75,94805.56,-0.0905783265972129,433.30339543729815,0.0014277527807280421
SHORT,94776.99,93640.16,5.197382814488884,438.50077825178704,0.0025652325712144375
SHORT,93300.76,92863.8,2.0536520824149544,440.554430334202,0.00436456548050046
SHORT,92954.54,93920.0,-4.575760154484764,435.9786701797172,0.008568605408072472
SHORT,94244.02,92183.46,9.532278107677492,445.5109482873947,0.004244782496243715
SHORT,92277.94,92592.77,-1.5199755418177014,443.990972745577,0.015603805892169476
SHORT,92456.32,93113.97,-3.1581471469567983,440.83282559862016,0.007387039717286825
SHORT,93102.52,93837.69,-3.4809698856200195,437.35185571300013,0.0013450230471789837
SHORT,93744.08,94811.12,-4.978148210745665,432.3737075022545,0.0005461421678774059
SHORT,93548.0,94409.6,-3.982267781074386,428.3914397211801,0.011023865081369877
SHORT,94295.2,93269.55,4.659618730858238,433.0510584520384,0.007841055281460285
SHORT,94104.01,94363.64,-1.194774232319164,431.8562842197192,0.027705103158950806
SHORT,94218.01,94807.18,-2.700510942374306,429.1557732773449,0.00438893074169755
SHORT,94334.39,91833.03,11.379445873821961,440.53521915116687,0.000996992806904018
SHORT,92397.73,92043.02,1.691191413307524,442.2264105644744,0.007807816378772259
SHORT,91717.09,92965.1,-6.017449775702384,436.208960788772,0.01616017147898674
SHORT,97618.89,98414.57,-3.555487528288998,432.653473260483,0.0016865836223587394
SHORT,103684.44,101331.57,9.81803419713111,442.4715074576141,0.0001174060016637668
SHORT,101408.0,100692.82,3.1205306554071943,445.5920381130213,0.0010507932165637612
SHORT,101016.41,101926.42,-4.014132066297252,441.5779060467241,0.00020932011830154806
SHORT,101795.9,102485.74,-2.9924398006921322,438.58546624603196,0.00015463208546862006
SHORT,102480.01,104689.49,-9.455949662390548,429.1295165836414,1.7068608940462582e-05
SHORT,104513.09,105620.01,-4.545000482683672,424.5845161009577,2.6807932954397984e-05
SHORT,104231.73,102963.32,5.166826321194262,429.751342422152,0.0005815459880977869
SHORT,103923.06,103400.0,2.1630015240826324,431.9143439462346,0.005513165146112442
SHORT,103608.0,102149.1,6.081768168318645,437.9961121145533,2.4435743398498744e-05
SHORT,100480.0,101242.68,-3.3245509035382512,434.67156121101505,0.0017712825210765004
SHORT,101498.24,102386.01,-3.8019218057012147,430.8696394053138,0.0010377907892689109
SHORT,102428.14,102898.0,-1.9764920926122411,428.89314731270156,0.0008935881778597832
SHORT,103061.27,102176.04,3.6839161869015205,432.57706349960307,0.00025938614271581173
SHORT,102373.32,103182.64,-3.4197705909263734,429.1572929086767,4.032429933431558e-05
SHORT,102996.01,103863.42,-3.6142694017168044,425.5430235069599,1.0747256965260021e-05
SHORT,103758.61,103943.0,-0.7562348619015622,424.7867886450583,8.600130240665749e-05
SHORT,104620.0,104949.99,-1.3398527278243684,423.44693591723393,6.6493789745436516e-06
SHORT,104387.02,104265.98,0.49099990710938207,423.9379358243433,2.374886389588937e-05
SHORT,104426.0,102889.95,6.235897825474374,430.17383364981765,1.2738556506519672e-05
SHORT,102857.24,102164.9,2.895533187446194,433.06936683726383,1.932745180965867e-05
SHORT,102512.28,104940.95,-10.260064249440745,422.8093025878231,1.8374179489910603e-05
SHORT,103537.99,105041.55,-6.139960366228341,416.6693422215947,0.001128951902501285
SHORT,103770.04,104846.04,-4.320478359943152,412.3488638616516,4.510124563239515e-05
SHORT,103284.48,103658.15,-1.4918252961062661,410.85703856554534,0.00037319440161809325
SHORT,103831.13,104110.82,-1.1067259415976518,409.7503126239477,9.972675798053388e-06
SHORT,104777.25,105076.01,-1.168354804115662,408.58195781983204,5.7120028031931724e-06
SHORT,102987.28,101816.79,4.643690908319344,413.2256487281514,4.407177766552195e-05
SHORT,101491.82,99158.54,9.499988685437177,422.7256374135886,6.925861089257523e-05
SHORT,99048.02,99761.99,-3.0471424198502772,419.6784949937383,0.0022510772105306387
SHORT,100619.68,101628.22,-4.206558292979922,415.47193670075836,0.0001542059617349878
SHORT,100882.99,101224.0,-1.4044001385597695,414.0675365621986,0.00031052346457727253
SHORT,101920.89,100351.68,6.375129956663169,420.44266651886176,0.00022121466463431716
SHORT,100944.51,102295.12,-5.6254081556990245,414.81725836316275,5.791543298983015e-05
SHORT,101672.55,101993.52,-1.3095363047039221,413.50772205845885,9.193600999424234e-05
SHORT,101739.95,102290.25,-2.2366169773896214,411.2711050810692,7.734565588179976e-05
SHORT,101962.98,102937.33,-3.930073456422558,407.34103162464663,3.846685285679996e-05
SHORT,102267.4,103035.9,-3.0610104764914454,404.2800211481552,7.591793109895661e-05
SHORT,102205.79,101265.63,3.7188490464448756,407.99887019460004,5.591855733655393e-05
SHORT,101229.54,101768.81,-2.1734915591816684,405.82537863541836,0.00013754246174357831
SHORT,101702.59,102523.08,-3.2740136206617154,402.55136501475664,2.0361669157864526e-05
SHORT,102029.93,102754.76,-2.859761894413209,399.6916031203434,1.4354276572703384e-05
SHORT,102048.0,103448.29,-5.484518608237157,394.20708451210623,4.362698382465169e-05
SHORT,104018.68,102473.48,5.855955747449476,400.0630402595557,1.5208595868898556e-05
SHORT,102261.3,101150.47,4.345749829226931,404.4087900887826,2.2218155208975077e-05
SHORT,101250.38,100239.99,4.035645075285668,408.4444351640683,3.8759557355660945e-05
SHORT,100259.53,99272.12,4.022581391767484,412.46701655583576,6.018977001076564e-05
SHORT,99421.99,98346.3,4.46266107768462,416.9296776335204,0.00015125409117899835
SHORT,98273.16,97509.53,3.2397453153158744,420.16942294883626,0.0007859834586270154
SHORT,97409.03,97994.46,-2.5252256929048706,417.6441972559314,0.0005583452875725925
SHORT,97719.17,96511.33,5.162215020999512,422.80641227693087,0.0008594433311372995
SHORT,95782.01,94348.08,6.329735602293774,429.13614787922467,0.01276683621108532
SHORT,94436.0,93587.99,3.853527730558885,432.98967560978355,0.013832710683345795
SHORT,93619.36,94439.78,-3.794443688397126,429.19523192138644,0.007401714567095041
SHORT,94006.01,95333.01,-6.058570859029953,423.1366610623565,0.009242967702448368
SHORT,95400.0,95800.02,-1.7742466159136854,421.3624144464428,0.0023498099762946367
SHORT,95880.57,95352.71,2.31976472490412,423.68217917134695,0.0009125632350333035
SHORT,94664.51,96150.84,-6.65224521172457,417.0299339596224,0.005964881740510464
SHORT,96589.5,98339.99,-7.557826980127017,409.4721069794954,0.005188450217247009
SHORT,98839.5,98637.06,0.8386680763958705,410.31077505589127,0.0002773455053102225
SHORT,98696.95,99267.45,-2.371727770406121,407.9390472854852,0.00035696025588549674
SHORT,98683.4,100147.6,-6.052733823879302,401.8863134616059,0.0001324904733337462
SHORT,98878.74,99964.0,-4.410969845968303,397.4753436156376,0.0004894653102383018
SHORT,98859.77,97691.2,4.698349614700996,402.1736932303386,0.001697643892839551
SHORT,97896.65,98274.01,-1.5502498285426682,400.6234434017959,0.0010441566118970513
SHORT,98484.17,98200.01,1.1559335645216404,401.77937696631756,0.00013258500257506967
SHORT,98040.0,98110.01,-0.28690916137709055,401.4924678049405,0.00020438760111574084
SHORT,97888.09,98735.36,-3.4751165662451093,398.01735123869537,0.00026749097742140293
SHORT,98292.27,97585.7,2.8611316013429042,400.87848284003826,0.0001734870602376759
SHORT,97634.0,97217.97,1.7081905403439503,402.5866733803822,0.0003966510121244937
SHORT,97024.77,97755.02,-3.030039836590408,399.5566335437918,0.0003637384797912091
SHORT,97835.98,96815.21,4.168767204278935,403.72540074807074,0.0001617093221284449
